PUSTAK,author,DATE,books-eng,author-eng
तत्व दर्शन,आत्मानन्द स्वामी,1978,Tattva Darshan,Atmanand Swami
जीवात्मा,गंगा प्रसाद उपाध्याय,1933,Jivatma,Ganga Prasad Upadhyay
दर्शन का प्रयोजन,भगवान दास,1940,Darshan ka Prayojan,Bhagwan Das
दर्शन परिचय,रामगोविन्द त्रिवेदी,1980,Darshan Parichay,Ramgovind Trivedi
यूरोपीय दर्शन,रामवतार शर्मा,1980,European Darshan,Ramavatar Sharma
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976,Bharatiya Darshan Shastra,Radhakrishna Mishra
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976,Bharatiya Darshan Shastra,Radhakrishna Mishra
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976,Bharatiya Darshan Shastra,Radhakrishna Mishra
आर्य दर्शन,राजाराम,1918,Arya Darshan,Rajaram
नवदर्शन संग्रह,राजाराम,1999,Navdarshan Sangrah,Rajaram
बौद्ध दर्शन,राहुल सांकृत्यायन,1944,Bauddh Darshan,Rahul Sankrityayan
मार्क्स का दर्शन,भूपेन्द्रनाथ सान्याल,1945,Marx ka Darshan,Bhupendranath Sanyal
ईश्वर दर्शनम्,स्वामी ब्रह्मानंद,1980,Ishwar Darshanam,Swami Brahmanand
यूरोप में बुद्धि स्वातंत्र्य,एस भंडारी,----,Europe mein Buddhi Swatantrya,S Bhandari
प्रपंच परिचय,विश्वेश्वर सेन,1930,Prapanch Parichay,Vishweshwar Sen
दर्शन दिग्दर्शन,राहुल सांकृत्यायन,1947,Darshan Digdarshan,Rahul Sankrityayan
विचार दर्शन,काली प्रसन्न घोष,1980,Vichar Darshan,Kali Prasanna Ghosh
प्राच्य दर्शन समीक्षा,साधुशांति नाथ,----,Prachya Darshan Sameeksha,Sadhu Shanti Nath
योग दर्शनम,प्रभुदयाल,----,Yoga Darshanam,Prabhudayal
तर्क शास्त्र भाग-2,गुलाब राय,1984,Tark Shastra Bhag-2,Gulab Rai
तर्क शास्त्र भाग-3,गुलाब राय,1919,Tark Shastra Bhag-3,Gulab Rai
अरविन्द की गीता,अनिल वरन राय,----,Arvind ki Gita,Anil Varan Rai
भगवद्गीता का सूक्ष्म विषय,------------,----,Bhagavadgita ka Sukshm Vishay,------------
श्रीमद्भागवद् गीता,------------,1991,Shrimadbhagvad Gita,------------
गीता रहस्य सांख्य योग,जयदयाल गोयनका,1985,Gita Rahasya Sankhya Yoga,Jaydayal Goenka
गीता निबंधावली,जयदयाल गोयनका,1988,Gita Nibandhavali,Jaydayal Goenka
गीता हृदय,साने गुरुजी,1944,Gita Hriday,Sane Guruji
गीता की भूमिका,अरविन्द घोष,1979,Gita ki Bhumika,Arvind Ghosh
श्रीमद्भागवत गीता,------------,1985,Shrimadbhagvat Gita,------------
श्रीमद्भागवद्गीता सरल भाषा,स्वामी किशोरी दास,----,Shrimadbhagvadgita Saral Bhasha,Swami Kishori Das
श्रीमद्भागवद् गीता,स्वामी किशोरी दास,1982,Shrimadbhagvad Gita,Swami Kishori Das
श्रीमद्भागवद् गीता,स्वामी किशोरी दास,1971,Shrimadbhagvad Gita,Swami Kishori Das
दैवी संपद,रामगोपाल मेहता,1932,Daivi Sampad,Ramgopal Mehta
गीता दर्शन,कन्नोमल,1983,Gita Darshan,Kannomal
गीता प्रवचन,आचार्य बिनोवा भावे,1948,Gita Pravachan,Acharya Binova Bhave
गीता में भक्ति योग,वियोगी हरि,1987,Gita mein Bhakti Yoga,Viyogi Hari
गीता में ईश्वरवाद,हीरेन्द्रनाथ दत्त,1919,Gita mein Ishwarvad,Heerendranath Dutt
बाल गीता,रामजी लाल शर्मा,1921,Baal Gita,Ramji Lal Sharma
श्रीमद्भागवद् गीता,ईश्वरी प्रसाद जी शर्मा,1984,Shrimadbhagvad Gita,Ishwari Prasad Ji Sharma
मोक्ष गीता,स्वामी ब्रह्मानन्द,1979,Moksh Gita,Swami Brahmanand
गीता चन्द्रिका भाग-1,स्वामी दयानन्द,1926,Gita Chandrika Bhag-1,Swami Dayanand
गीता चन्द्रिका भाग-2,स्वामी दयानन्द,1927,Gita Chandrika Bhag-2,Swami Dayanand
श्रीमद्भागवद् गीता भाषा,गीता प्रेस,1987,Shrimadbhagvad Gita Bhasha,Gita Press
रणभूमि में उपदेश,रामभरोस राय,1978,Ranbhoomi mein Updesh,Rambharos Rai
एकादश स्कन्ध,मुनिलाल,1989,Ekadash Skandh,Munilal
श्रीमद्भागवद् गीता,तुलसीदास,1976,Shrimadbhagvad Gita,Tulsidas
श्रीकृष्ण उपदेश,जगदीश नारायण तिवारी,1981,Shri Krishna Updesh,Jagdish Narayan Tiwari
गीता का पद्यानुवाद,वासुदेव कवि,1981,Gita ka Padyanuvad,Vasudev Kavi
श्री कृष्ण विज्ञान,पुरोहित रामप्रताप,1921,Shri Krishna Vigyan,Purohit Rampratap
श्रीकृष्ण चरित्र,बंकिमचन्द्र चट्टोपाध्याय,1981,Shri Krishna Charitra,Bankimchandra Chattopadhyay
गीता प्रवचन,आचार्य विनोबा भावे,1947,Gita Pravachan,Acharya Vinoba Bhave
हिन्दी गीता भाष्य भूमिका 2,मोतीलाल शर्मा,1998,Hindi Gita Bhashya Bhumika 2,Motilal Sharma
हिन्दी गीता भाष्य भूमिका 1,मोतीलाल शर्मा,1998,Hindi Gita Bhashya Bhumika 1,Motilal Sharma
श्रीमद्भागवद् गीता 1,------------,1983,Shrimadbhagvad Gita 1,------------
श्रीमद्भागवद् गीता 2,------------,1983,Shrimadbhagvad Gita 2,------------
श्रीमद्भागवद् गीता 3,------------,1983,Shrimadbhagvad Gita 3,------------
श्रीमद्भागवद् गीता 4,------------,1983,Shrimadbhagvad Gita 4,------------
ब्रह्मण की गौ,देवशर्मा अभय,1986,Brahman ki Gau,Devsharma Abhay
आस्तिकवाद,गंगा प्रसाद उपाध्याय,1983,Aastikvad,Ganga Prasad Upadhyay
कर्म,लक्ष्मी नारायण अवस्थी,1920,Karm,Laxmi Narayan Awasthi
कर्म,लक्ष्मी नारायण अवस्थी,1920,Karm,Laxmi Narayan Awasthi
भागवान की लीला,अरविन्द घोष,1979,Bhagwan ki Leela,Arvind Ghosh
तत्व विचार,ज्वाला प्रासद,1992,Tatva Vichar,Jwala Prasad
माता की कृपा,श्री कुमार चिदानंद,1986,Mata ki Kripa,Shri Kumar Chidanand
स्वर्ग की सीढ़ी,महावीर प्रसाद गहमरी,1979,Swarg ki Seedhi,Mahavir Prasad Gahmari
ईश्वरीय बोध,रामकष्ण परमहंस,1918,Ishwariya Bodh,Ramkrishna Paramhans
सच्चा सुख,जयदयाल गोयनदका,1984,Sachcha Sukh,Jaydayal Goendka
सदुपदेश,रामकृष्ण परमहंस,1918,Sadupdesh,Ramkrishna Paramhans
स्वर्ग सोपान,दुर्गा प्रसाद त्रिपाठी,----,Swarg Sopan,Durga Prasad Tripathi
जीवन मुक्ति,मोतीलाल चेतनदास,1919,Jeevan Mukti,Motilal Chetandas
जीवन के आनन्द,गणपत दुबे,1922,Jeevan ke Anand,Ganpat Dubey
अरविंद मंदिर में,अरविंद,1980,Aurobindo Mandir mein,Arvind
शान्ति और आनन्द का मार्ग,स्वामी परमानन्द,1921,Shanti aur Anand ka Marg,Swami Parmanand
जीवन और मृत्यु,स्वामी परमानन्द,1920,Jeevan aur Mrityu,Swami Parmanand
ईश्वरावतार,दुर्गादत्त,1966,Ishwaravatar,Durgadatt
पुनर्जन्म,लेखराम,1928,Punarjanm,Lekhram
विचार चन्द्रोदय,पीताम्बर,1975,Vichar Chandroday,Peetambar
वचन संत संग्रह,------------,1908,Vachan Sant Sangrah,------------
जेम्स एलेन के विचार,इन्द्र ब्रह्मचारी,1931,James Allen ke Vichar,Indra Brahmachari
विनोबा और उनके विचार,बियोगी हरि,1940,Vinoba aur Unke Vichar,Byogi Hari
गुलामी से उद्धार,टालस्टॉस,1922,Gulami se Uddhar,Tolstoy
जीवन मरण रहस्य,प्रसिद्ध नारायण सिंह,1923,Jeevan Maran Rahasya,Prasiddh Narayan Singh
योग-त्रयी,प्रसिद्ध नारायण सिंह,1920,Yoga-Trayi,Prasiddh Narayan Singh
भक्ति,स्वामी विवेकानन्द,1980,Bhakti,Swami Vivekanand
राम कृष्ण वाक्य सुधा,शंकर नरहर जोशी,1915,Ram Krishna Vakyasudha,Shankar Narhar Joshi
साम्यवाद,स्वामी सच्चिदानंद,----,Samvad,Swami Sachchidanand
सत्य उपदेश माला,स्वामी सत्यानंद,1921,Satya Updesh Mala,Swami Satyanand
सत्य प्रतिष्ठा,नलिनी मोहन सान्याल,1980,Satya Pratishtha,Nalini Mohan Sanyal
उपनिषदों का रहस्य,नारायण स्वामी,1983,Upanishadon ka Rahasya,Narayan Swami
रामकृष्ण वाक्य सुधा,शंकर नरहर जोशी,1915,Ramakrishna Vakyasudha,Shankar Narhar Joshi
खेतड़ी नरेश और विवेकानन्द,झाबरमल शर्मा,1984,Khetari Naresh aur Vivekanand,Jhabarmal Sharma
निशीध चिन्ता,रामेश्वर प्रसाद शर्मा,1916,Nishidh Chinta,Rameshwar Prasad Sharma
पुनर्जन्म,भीम सेन शर्मा,1914,Punarjanm,Bhim Sen Sharma
विवेकानन्द ग्रंथावली,स्वामी विवेकानन्द,----,Vivekanand Granthavali,Swami Vivekanand
पुनर्जन्म,नन्द किशोर विद्यालंकार,----,Punarjanm,Nand Kishore Vidyalankar
सुख की प्राप्ति का मार्ग,जेम्स एलेन,1917,Sukh ki Prapti ka Marg,James Allen
छात्र मित्र,विद्याधर शास्त्री,1925,Chhatra Mitra,Vidyadhar Shastri
तन मन और परिस्थति का नेता,जेम्स एलेन,1918,Tan Man aur Paristhiti ka Neta,James Allen
पवित्र जीवन,मुंशी लाल,1921,Pavitra Jeevan,Munshi Lal
उन्नति का मार्ग,जेम्स एलेन,1940,Unnati ka Marg,James Allen
आत्म निर्माण,चन्द्रशेखर शास्त्री,1936,Aatm Nirmaan,Chandrashekhar Shastri
धर्म समाज और विज्ञान,शचीन्द्रनाथ सान्याल,1939,"Dharma, Samaj aur Vigyan",Shachindranath Sanyal
वेदार्थ करने की विधि,शचीन्द्रनाथ सान्याल,----,Vedarth Karne ki Vidhi,Shachindranath Sanyal
वेद शिक्षक,राजाराम,1927,Ved Shikshak,Rajaram
गऊवाणी,ऋषभचरण जैन,----,Gauvani,Rishabhcharan Jain
जगद् गुरु दयानन्द,मेहता जैमिनी,1924,Jagadguru Dayanand,Mehta Jaimini
दर्शनानन्द ग्रंथमाला-1,स्वामी दर्शनानंद,1927,Darshanand Granthmala-1,Swami Darshananand
दर्शनानन्द ग्रंथमाला-1,स्वामी दर्शनानंद,1927,Darshanand Granthmala-1,Swami Darshananand
दर्शनानन्द ग्रंथमाला-2,स्वामी दर्शनानंद,1927,Darshanand Granthmala-2,Swami Darshananand
गांधी वाणी,रामनाथ सुमन,1947,Gandhi Vani,Ramnath Suman
अमृत वर्षा,नारायण स्वमी,1931,Amrit Varsha,Narayan Swami
द्वन्द्वात्मक और ऐतिहासिक मो0,स्तालिन,----,Dwandwatmak aur Aitihasik Mo0,Stalin
शास्त्रवाद बनाम बुद्धिवाद,डॉ. भगवानदास,1945,Shastravad बनाम Buddhivad,Dr. Bhagwandas
सच्चा सुख उसकी प्राप्ति के उपाय,जयदयाल गोयनका,1984,Sachcha Sukh uski Prapti ke Upay,Jaydayal Goenka
सरस्वती चन्द्र भाग-1,गिरिधर शर्मा,----,Saraswati Chandra Bhag-1,Giridhar Sharma
वैराग्य के पथ पर,शिवानंद सरस्वती,1938,Vairagya ke Path Par,Shivanand Saraswati
मन की अद्भूत शक्ति,लिली एल एलेन,1926,Man ki Adbhut Shakti,Lily L Allen
प्राकृति विज्ञान,दुर्गा प्रसाद खत्री,----,Prakriti Vigyan,Durga Prasad Khatri
दैनिक जीवन और मनोविज्ञान,इलाचंद जोशी,----,Dainik Jeevan aur Manovigyan,Ilachand Joshi
जीवन विज्ञान,बलदेव प्रसाद मिश्र,1928,Jeevan Vigyan,Baldev Prasad Mishra
इच्छा शक्ति के चमत्कार,बुद्धि सागर वर्मा,1989,Ichha Shakti ke Chamatkar,Budhi Sagar Verma
मन के भेद,राजराम शास्त्री,1940,Man ke Bhed,Rajaram Shastri
नवीन मनोविज्ञान,लालजी राम शुक्ल,1950,Naveen Manovigyan,Lalji Ram Shukla
मनोविज्ञान,चन्द्रमौलि शुक्ल,1981,Manovigyan,Chandramouli Shukla
मनोविज्ञान,चन्द्रमौलि शुक्ल,1981,Manovigyan,Chandramouli Shukla
योग की कुछ विभूतियां,प्रसिद्ध नारायण सिंह,1922,Yoga ki Kuch Vibhutiyan,Prasiddh Narayan Singh
बोध सार,रामवतार विद्याभास्कार,1989,Bodh Saar,Ramavatar Vidyabhaskar
योग शास्त्रान्तर्गत धर्म,प्रसिद्ध नारायण सिंह,1920,Yoga Shastrantargat Dharma,Prasiddh Narayan Singh
साधन पथ,हनुमान प्रसाद पोद्दार,1986,Sadhan Path,Hanuman Prasad Poddar
प्रेत लोक,रामनारायण पाठक,1926,Pret Lok,Ramnarayan Pathak
दिन चर्या,भूपेन्द्र सान्याल,1990,Din Charya,Bhupendra Sanyal
