PUSTAK,author,DATE
हिन्दी शब्द सागर भाग-8,श्यामसुन्दर दास,1923
हिन्दी शब्द संग्रह,श्रीवास्तव व सहाय,1987
हिन्दी पर्यायवायी कोष,श्रीकृष्ण शुक्ल,1992
पाइअ-सद्य-महण्णवो -2,हरगोविन्द सिंह,1924
पाइअ-सद्य-महण्णवो -3,हरगोविन्द सिंह,1925
पाइअ-सद्य-महण्णवो -4,हरगोविन्द सिंह,1928
अद्वैतामृतम,रामचन्द्र,1978
माता,अरविन्द,1988
आत्म विद्या,माधव राव सप्रे,-----
चन्द्रकान्त 1,इच्छा राम देसाई,1928
चन्द्रकान्त 2,इच्छा राम देसाई,1927
चन्द्रकान्त 3,इच्छा राम देसाई,1938
मुक्ति मार्ग,जेम्स एलच,1915
भगवान क्या है,जय दयाल गोयनका,----
वैज्ञानिक अद्वैतवाद,रामदास गौड़,1977
राजयोग,रामचारक,1988
राजयोग,रामचारक,1988
संक्षिप्त कर्मयोग,गोपाल,1929
आध्यात्मिकी,महावीर प्रसाद द्विवेदी,1927
कर्मयोग,अश्विनी कुमार दत्त,1980
कर्मयोग और जन्मांतर,हीरेन्द्र नाथदत्त,1986
तत्व चिंतामणि का-2,जयदयाल गोयनका,1990
भक्तियोग,अश्विनी कुमार दत्त,1978
ब्रह्मदर्शन,जानकी नाथ,1925
मन की कुंजी,शाह महाराज,----
सत् विचार,भीम सैन रामा मित्र,1981
सत् विचार,भीम सैन रामा मित्र,1981
विश्व प्रपंच भाग-2,रामचन्द्र शुक्ल,1978
आनन्द मार्ग,सरजू प्रसाद वाजपेयी,1958
राजयोग,स्वामी विवेकानंद,----
आध्यात्मिक शिक्षावली-1,स्वामी शिवानंद सर0,1941
रामतीर्थ ग्रंथावली 1,स्वामी रामतीर्थ,1919
"रामतीर्थ ग्रंथावली भाग- 7,8",स्वामी रामतीर्थ,1921
रामतीर्थ ग्रंथावली भाग- 11,स्वामी रामतीर्थ,1921
रामतीर्थ ग्रंथावली भाग-12,स्वामी रामतीर्थ,1921
रामतीर्थ ग्रंथावली भाग-13,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग-14,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग-15,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग-16,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग- 17;18,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग-21,स्वामी रामतीर्थ,1922
रामतीर्थ ग्रंथावली भाग-25,स्वामी रामतीर्थ,1924
रामतीर्थ ग्रंथावली भाग-26,स्वामी रामतीर्थ,1924
रामतीर्थ ग्रंथावली भाग-27,स्वामी रामतीर्थ,1924
रामतीर्थ ग्रंथावली भाग-28,स्वामी रामतीर्थ,1924
वृति प्रभाकर,कृष्णदास खेमराज,----
श्री विचार सार,निश्चल दास,1974
वेदान्त स्तोत्र संग्रह,स्वामी परमानन्द,1912
सद् गुरू रहस्य,कोशलेन्द्र प्रताप,1982
आत्मोपदेश,नरेन्द्र नारायण,1980
आत्मोपदेश,नरेन्द्र नारायण,1980
आत्मोपदेश,नरेन्द्र नारायण,1980
अष्टावक्र गीता,जालिम सिंह,1935
विवेक चूड़ामणि,म. शंकराचार्य,1988
विवेक चूड़ामणि,म. शंकराचार्य,1907
प्रश्न उपनिषद,राजाराम,1971
वृहदारण्यक उपनिषद,राजाराम,1970
मुण्डक उपनिषद,राजाराम,1971
अवतार मीमांसा,अम्बिका दत्त व्यास,1956
कठोषनिषद,भीमसेन शर्मा,1917
गीता संग्रह,भीमसेन शर्मा,1911
एतरेय उपनिषद,राजाराम,1974
वैत्तरीय उपनिषद्,राजाराम,1915
वेदान्त रहस्य,हीरेन्द्र नाथ दत्त,1994
प्रवचन सार टीका,शीलत प्रसाद जी,1923
अध्यात्म भागवत संग्रह,नित्यानन्द पाण्डेय,----
आत्मबोध,शंकराचार्य,1980
शांतिदायी विचार,शिवकुमार शास्त्री,----
मोक्ष मार्ग,जेम्स एलेन,2006
सफलता,शिवनारायण,1922
सफलता की कुंजी,रामकृष्ण परमहंस,1918
अपने हितैषी बनो,दयाचंद गोयलीय,1919
सुख सफलता के मूल सि.,जेम्स एलेन,1918
आत्म संयम,जगपति चतुर्वेदी,1940
कर्मक्षेत्र,शशिभूषण सेन,1917
मेरे अंत समय के विचार,परमानंद,----
तत्व चिंतामणि भा0 4,जयदयाल गोयन्दका,2007
तत्व चिंतामणि भा -5,जयदयाल गोयन्दका,2007
तत्व चिंतामणि भा0-6,जयदयाल गोयन्दका,2007
तत्व चिंतामणि भा0-7,जयदयाल गोयन्दका,2007
तत्व चिंतामणि भा0-8,जयदयाल गोयन्दका,2007
सद्दर्शन :,हरिशंकर उपाध्याय,1911
तत्व दर्शन,आत्मानन्द स्वामी,1978
जीवात्मा,गंगा प्रसाद उपाध्याय,1933
दर्शन का प्रयोजन,भगवान दास,1940
दर्शन परिचय,रामगोविन्द त्रिवेदी,1980
यूरोपीय दर्शन,रामवतार शर्मा,1980
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976
भारतीय दर्शन शास्त्र,राधाकृष्ण मिश्र,1976
आर्य दर्शन,राजाराम,1918
नवदर्शन संग्रह,राजाराम,1999
बौद्ध दर्शन,राहुल सांकृत्यायन,1944
मार्क्स का दर्शन,भूपेन्द्रनाथ सान्याल,1945
ईश्वर दर्शनम्,स्वामी ब्रह्मानंद,1980
यूरोप में बुद्धि स्वातंत्र्य,एस भंडारी,----
प्रपंच परिचय,विश्वेश्वर सेन,1930
दर्शन दिग्दर्शन,राहुल सांकृत्यायन,1947
विचार दर्शन,काली प्रसन्न घोष,1980
प्राच्य दर्शन समीक्षा,साधुशांति नाथ,----
योग दर्शनम,प्रभुदयाल,----
तर्क शास्त्र भाग-2,गुलाब राय,1984
तर्क शास्त्र भाग-3,गुलाब राय,1919
अरविन्द की गीता,अनिल वरन राय,----
भगवद्गीता का सूक्ष्म विषय,------------,----
श्रीमद्भागवद् गीता,------------,1991
गीता रहस्य सांख्य योग,जयदयाल गोयनका,1985
गीता निबंधावली,जयदयाल गोयनका,1988
गीता हृदय,साने गुरुजी,1944
गीता की भूमिका,अरविन्द घोष,1979
श्रीमद्भागवत गीता,------------,1985
श्रीमद्भागवद्गीता सरल भाषा,स्वामी किशोरी दास,----
श्रीमद्भागवद् गीता,स्वामी किशोरी दास,1982
श्रीमद्भागवद् गीता,स्वामी किशोरी दास,1971
दैवी संपद,रामगोपाल मेहता,1932
गीता दर्शन,कन्नोमल,1983
गीता प्रवचन,आचार्य बिनोवा भावे,1948
गीता में भक्ति योग,वियोगी हरि,1987
गीता में ईश्वरवाद,हीरेन्द्रनाथ दत्त,1919
बाल गीता,रामजी लाल शर्मा,1921
श्रीमद्भागवद् गीता,ईश्वरी प्रसाद जी शर्मा,1984
मोक्ष गीता,स्वामी ब्रह्मानन्द,1979
गीता चन्द्रिका भाग-1,स्वामी दयानन्द,1926
गीता चन्द्रिका भाग-2,स्वामी दयानन्द,1927
श्रीमद्भागवद् गीता भाषा,गीता प्रेस,1987
रणभूमि में उपदेश,रामभरोस राय,1978
एकादश स्कन्ध,मुनिलाल,1989
श्रीमद्भागवद् गीता,तुलसीदास,1976
श्रीकृष्ण उपदेश,जगदीश नारायण तिवारी,1981
गीता का पद्यानुवाद,वासुदेव कवि,1981
श्री कृष्ण विज्ञान,पुरोहित रामप्रताप,1921
श्रीकृष्ण चरित्र,बंकिमचन्द्र चट्टोपाध्याय,1981
गीता प्रवचन,आचार्य विनोबा भावे,1947
हिन्दी गीता भाष्य भूमिका 2,मोतीलाल शर्मा,1998
हिन्दी गीता भाष्य भूमिका 1,मोतीलाल शर्मा,1998
श्रीमद्भागवद् गीता 1,------------,1983
श्रीमद्भागवद् गीता 2,------------,1983
श्रीमद्भागवद् गीता 3,------------,1983
श्रीमद्भागवद् गीता 4,------------,1983
ब्रह्मण की गौ,देवशर्मा अभय,1986
आस्तिकवाद,गंगा प्रसाद उपाध्याय,1983
कर्म,लक्ष्मी नारायण अवस्थी,1920
कर्म,लक्ष्मी नारायण अवस्थी,1920
भागवान की लीला,अरविन्द घोष,1979
तत्व विचार,ज्वाला प्रासद,1992
माता की कृपा,श्री कुमार चिदानंद,1986
स्वर्ग की सीढ़ी,महावीर प्रसाद गहमरी,1979
ईश्वरीय बोध,रामकष्ण परमहंस,1918
सच्चा सुख,जयदयाल गोयनदका,1984
सदुपदेश,रामकृष्ण परमहंस,1918
स्वर्ग सोपान,दुर्गा प्रसाद त्रिपाठी,----
जीवन मुक्ति,मोतीलाल चेतनदास,1919
जीवन के आनन्द,गणपत दुबे,1922
अरविंद मंदिर में,अरविंद,1980
शान्ति और आनन्द का मार्ग,स्वामी परमानन्द,1921
जीवन और मृत्यु,स्वामी परमानन्द,1920
ईश्वरावतार,दुर्गादत्त,1966
पुनर्जन्म,लेखराम,1928
विचार चन्द्रोदय,पीताम्बर,1975
वचन संत संग्रह,------------,1908
जेम्स एलेन के विचार,इन्द्र ब्रह्मचारी,1931
विनोबा और उनके विचार,बियोगी हरि,1940
गुलामी से उद्धार,टालस्टॉस,1922
जीवन मरण रहस्य,प्रसिद्ध नारायण सिंह,1923
योग-त्रयी,प्रसिद्ध नारायण सिंह,1920
भक्ति,स्वामी विवेकानन्द,1980
राम कृष्ण वाक्य सुधा,शंकर नरहर जोशी,1915
साम्यवाद,स्वामी सच्चिदानंद,----
सत्य उपदेश माला,स्वामी सत्यानंद,1921
सत्य प्रतिष्ठा,नलिनी मोहन सान्याल,1980
उपनिषदों का रहस्य,नारायण स्वामी,1983
रामकृष्ण वाक्य सुधा,शंकर नरहर जोशी,1915
खेतड़ी नरेश और विवेकानन्द,झाबरमल शर्मा,1984
निशीध चिन्ता,रामेश्वर प्रसाद शर्मा,1916
पुनर्जन्म,भीम सेन शर्मा,1914
विवेकानन्द ग्रंथावली,स्वामी विवेकानन्द,----
पुनर्जन्म,नन्द किशोर विद्यालंकार,----
सुख की प्राप्ति का मार्ग,जेम्स एलेन,1917
छात्र मित्र,विद्याधर शास्त्री,1925
तन मन और परिस्थति का नेता,जेम्स एलेन,1918
पवित्र जीवन,मुंशी लाल,1921
उन्नति का मार्ग,जेम्स एलेन,1940
आत्म निर्माण,चन्द्रशेखर शास्त्री,1936
धर्म समाज और विज्ञान,शचीन्द्रनाथ सान्याल,1939
वेदार्थ करने की विधि,शचीन्द्रनाथ सान्याल,----
वेद शिक्षक,राजाराम,1927
गऊवाणी,ऋषभचरण जैन,----
जगद् गुरु दयानन्द,मेहता जैमिनी,1924
दर्शनानन्द ग्रंथमाला-1,स्वामी दर्शनानंद,1927
दर्शनानन्द ग्रंथमाला-1,स्वामी दर्शनानंद,1927
दर्शनानन्द ग्रंथमाला-2,स्वामी दर्शनानंद,1927
गांधी वाणी,रामनाथ सुमन,1947
अमृत वर्षा,नारायण स्वमी,1931
द्वन्द्वात्मक और ऐतिहासिक मो0,स्तालिन,----
शास्त्रवाद बनाम बुद्धिवाद,डॉ. भगवानदास,1945
सच्चा सुख उसकी प्राप्ति के उपाय,जयदयाल गोयनका,1984
सरस्वती चन्द्र भाग-1,गिरिधर शर्मा,----
वैराग्य के पथ पर,शिवानंद सरस्वती,1938
मन की अद्भूत शक्ति,लिली एल एलेन,1926
प्राकृति विज्ञान,दुर्गा प्रसाद खत्री,----
दैनिक जीवन और मनोविज्ञान,इलाचंद जोशी,----
जीवन विज्ञान,बलदेव प्रसाद मिश्र,1928
इच्छा शक्ति के चमत्कार,बुद्धि सागर वर्मा,1989
मन के भेद,राजराम शास्त्री,1940
नवीन मनोविज्ञान,लालजी राम शुक्ल,1950
मनोविज्ञान,चन्द्रमौलि शुक्ल,1981
मनोविज्ञान,चन्द्रमौलि शुक्ल,1981
योग की कुछ विभूतियां,प्रसिद्ध नारायण सिंह,1922
बोध सार,रामवतार विद्याभास्कार,1989
योग शास्त्रान्तर्गत धर्म,प्रसिद्ध नारायण सिंह,1920
साधन पथ,हनुमान प्रसाद पोद्दार,1986
प्रेत लोक,रामनारायण पाठक,1926
दिन चर्या,भूपेन्द्र सान्याल,1990
दिव्य जीवन,स्वेट मार्डेन,1948
ब्रह्मयोग विद्या,ब्रज मोहन लाल वर्मा,1917
सूर्य के दिन व्यायाम,सातवेलकर,1924
प्राणायम,योगी राम चारक,----
मन को वश में करने के उपाय,------------,1983
वैदिक प्राण विधा,सातवलेकर,1921
मन और उसका निग्रह,शिवानद सरस्वती,1945
स्वर्ग की सड़क,महावीर प्रसाद गहमरी,1916
शुक्र नीति,मच्छुक्राचार्य,1982
सदुपदेश संग्रह,देवी प्रसाद मुसिंफ,1982
नीति दर्शन भाग 2,राधा मोहन गोकुलजी,1970
नीति दर्शन भाग 2,राधा मोहन गोकुलजी,1970
हितोपदेश,रामेश्वर दत्त,----
सदाचार और नीति,लक्ष्मीधर वाजपेयी,1983
सदाचार और नीति,लक्ष्मीधर वाजपेयी,1983
सदाचार सोपान,रामवृक्ष राय शर्मा,----
जीवन के महत्वपूर्ण प्रश्नों पर प्रकाश,जेम्स एलेन,1974
हमारे अधिकार और कर्तव्य,कृष्ण चंद्र विद्यालंकार,1946
मैत्री धर्म,गुलाब राय,----
पिता के उपदेश,दयाचन्द गोयलीय,1917
जीवन व्यवहार,ठाकुर लाल सिंह,1916
नीति रत्नमाला,चन्द्रशेखर शर्मा,1976
अपना सुधार,जान स्टुअर्ट,1989
स्वर्ग का खजाना,आमृत लाल,1986
आर्थिक सफलता,एडवर्ड विल्स,1917
सर्वोदय,महात्मा गोंधी,1919
सफलता और उसकी साधना,रामचन्द्र वर्मा,1915
सुखमार्ग,महेन्द्रलाल गर्ग,1913
अंग्रेजी सभ्यता,सूर्यनारायण सिंह,1903
धम्मपद,गंगा प्रसाद उपाध्याय,1932
धम्मपद,गंगा प्रसाद उपाध्याय,1932
बुद्धगीता,सत्यदेव परिब्राजक,----
मज्जिम निकाय,राहुल सांकृत्यायन,1933
विनय पिटक,राहुल सांकृत्यायन,1935
धम्मपद,राहुल सांकृत्यायन,1919
जातक कथा माला-1,रामचन्द्र वर्मा,1981
जातक कथा माला-1,रामचन्द्र वर्मा,1981
बुद्ध और बौध धर्म,चतुरसेन शास्त्री,1940
बुद्ध और बौध धर्म,चतुरसेन शास्त्री,1940
धम्मपद,रामचन्द्र सर्वटे,1919
श्रीचतुर्विशतिजिन पूजा विधान,कवि रामचन्द्र,2454
भक्तामर-कथा,रायमल्ल,1917
शान्तिनाथ चरित्र,------------,2439
जिनवाणी संग्रह,सतीशचन्द्र जैन,2454
दादा श्री जिनकुशल सूरि,नाहटा,1996
शांतिनाथ चरित्र,काशीनाथ जैन,1924
नवपदार्थ ज्ञान सार,------------,1937
जैन लेख संग्रह का-1,पूरनचंद नाहर,1918
जैन लेख संग्रह का-2,पूरनचंद नाहर,1927
जैन लेख संग्रह जैसलमेर,परनचंद नाहर,1929
